,Irrigate,Spray
01-06-2021,9,-1
02-06-2021,-1,-1
03-06-2021,8,13.5
04-06-2021,-1,-1
05-06-2021,-1,-1
06-06-2021,-1,-1
07-06-2021,9.5,-1
08-06-2021,-1,14.75
09-06-2021,8.25,-1
10-06-2021,-1,-1
11-06-2021,-1,16
12-06-2021,-1,-1
13-06-2021,-1,-1
14-06-2021,-1,15.5
15-06-2021,11.33,-1
16-06-2021,-1,-1
17-06-2021,11,15
18-06-2021,-1,-1
19-06-2021,-1,-1
20-06-2021,-1,-1
21-06-2021,13,-1
22-06-2021,-1,-1
23-06-2021,8.25,-1
24-06-2021,-1,13.58
25-06-2021,7.33,-1
26-06-2021,-1,-1
27-06-2021,-1,-1
28-06-2021,8.08,16
29-06-2021,8,-1
30-06-2021,-1,-1
01-07-2021,7.92,13.5
02-07-2021,-1,-1
03-07-2021,-1,-1
04-07-2021,-1,-1
05-07-2021,10,13.5
06-07-2021,-1,-1
07-07-2021,-1,-1
08-07-2021,10.25,14
